,Student id,GPA
0,97-539-8581,1.6
1,45-828-9619,1.2
2,28-568-8496,2.1
3,58-419-2863,2.1
4,97-888-3245,3.2
5,91-194-7385,1.1
6,76-433-4886,1.6
7,54-802-1641,1.7
8,07-774-7912,2.0
9,50-428-4068,2.0
10,87-225-5769,2.2
11,86-196-7092,2.3
12,96-365-6344,2.4
13,13-896-6940,3.5
14,26-163-1838,2.1
15,44-445-2031,1.1
16,64-388-5770,3.2
17,31-564-5139,2.3
18,99-410-9665,2.9
19,19-544-1448,3.9
20,88-034-9530,3.5
21,84-192-1294,2.9
22,17-669-3149,2.6
23,88-457-7787,1.8
24,37-932-2451,1.7
25,01-982-8496,3.7
26,87-559-4788,3.0
27,42-319-0195,1.7
28,88-318-8382,2.8
29,37-013-3242,1.9
30,48-276-1353,2.7
31,85-605-8707,1.4
32,91-250-8052,2.6
33,30-618-2878,2.7
34,88-079-5302,1.3
35,00-818-9136,1.8
36,99-249-7408,1.3
37,28-634-9406,1.2
38,22-791-6294,3.1
39,16-238-7037,2.0
40,17-878-9710,1.3
41,16-075-1866,2.3
42,57-670-1927,2.3
43,96-303-0369,2.1
44,99-444-5701,1.3
45,95-800-7155,2.5
46,85-615-4310,3.5
47,93-607-7412,3.0
48,92-544-6628,3.6
49,80-828-9899,1.7
50,98-661-7956,2.4
51,81-261-9617,3.6
52,69-394-8841,3.6
53,35-033-8700,3.5
54,12-338-8237,4.0
55,00-820-9932,3.6
56,51-923-4822,3.5
57,18-741-3615,2.0
58,74-389-1755,1.9
59,93-531-4630,2.9
60,63-016-4495,2.1
61,11-269-3694,3.4
62,89-630-8297,2.7
63,46-694-4442,2.2
64,03-854-7923,1.2
65,37-856-2460,1.1
66,81-599-6695,2.4
67,65-231-0073,2.0
68,35-447-2651,1.1
69,34-669-3670,3.9
70,69-797-0834,3.7
71,25-953-4683,3.8
72,97-066-2851,3.4
73,35-906-8082,2.5
74,20-081-4222,3.8
75,30-590-6653,3.0
76,41-192-1558,2.8
77,84-651-2188,1.3
78,91-318-0393,3.8
79,31-670-7604,1.5
80,77-405-9243,2.6
81,66-171-6632,1.5
82,38-650-1543,1.9
83,25-895-7263,2.4
84,36-632-8748,2.2
85,31-215-1250,2.0
86,50-277-5907,3.7
87,41-637-9159,1.9
88,29-388-4131,2.0
89,87-296-3900,1.6
90,53-298-5898,2.5
91,06-009-8590,1.4
92,43-016-0717,3.0
93,54-587-4185,3.7
94,60-203-2756,1.5
95,22-405-8051,1.5
96,35-673-5629,2.7
97,23-428-3235,2.1
98,39-054-5029,1.3
99,25-488-5431,2.8
100,28-328-7773,3.2
101,40-888-6531,1.2
102,29-734-4629,3.3
103,66-434-7059,2.6
104,54-097-7339,2.7
105,46-672-2644,1.4
106,21-647-8265,3.2
107,95-264-7796,1.8
108,31-246-6178,1.0
109,30-473-0288,2.9
110,67-852-2310,2.0
111,00-359-2526,3.8
112,28-482-3032,2.5
113,97-521-7312,1.9
114,66-594-3066,3.2
115,98-282-2730,2.0
116,59-544-4185,2.8
117,62-071-3524,2.8
118,37-041-6339,2.2
119,33-694-5072,1.4
120,49-093-3557,1.6
121,02-615-3265,1.6
122,12-613-4702,3.3
123,42-659-9092,3.3
124,99-827-5318,2.3
125,10-645-3833,3.3
126,54-504-4430,1.0
127,48-847-2557,3.6
128,38-057-8560,1.2
129,89-104-2542,3.5
130,84-712-9047,3.5
131,57-499-7563,1.3
132,50-601-4450,2.6
133,18-750-7536,3.7
134,30-089-6485,1.4
135,15-517-1505,2.8
136,75-399-3709,3.4
137,11-986-7522,2.0
138,79-240-6751,3.1
139,46-974-5801,1.3
140,85-195-3573,3.2
141,12-191-5634,1.2
142,16-911-0984,1.8
143,30-793-2413,1.2
144,60-529-7684,2.5
145,86-238-2460,3.4
146,37-000-9685,3.3
147,66-220-2982,2.9
148,27-833-9969,4.0
149,71-489-2465,2.9
150,41-637-4261,1.6
151,09-437-8370,3.3
152,46-854-2666,3.7
153,61-430-5540,2.5
154,40-855-7486,2.5
155,92-000-4378,2.7
156,63-525-2413,1.7
157,17-589-0937,1.5
158,51-952-1183,3.3
159,33-160-2699,2.2
160,43-311-4435,2.8
161,30-228-3262,3.5
162,69-624-2354,2.2
163,17-774-7203,3.7
164,75-069-3911,2.5
165,37-751-4792,2.4
166,29-253-7549,1.5
167,80-629-1216,1.7
168,78-978-3332,2.6
169,83-169-8286,3.9
170,41-460-2161,2.9
171,88-016-1012,3.9
172,69-628-1045,2.8
173,94-422-4514,2.1
174,03-122-9147,2.9
175,30-709-6387,2.0
176,69-566-7072,3.8
177,17-081-4552,3.2
178,38-792-7923,1.2
179,21-719-6634,3.4
180,11-903-8509,2.5
181,78-342-8444,1.3
182,72-533-7365,3.8
183,32-832-5533,1.0
184,19-140-0543,2.4
185,76-597-2810,1.3
186,85-977-1690,1.1
187,66-129-8928,1.4
188,72-324-8600,2.7
189,38-084-7085,2.8
190,03-792-5071,2.3
191,35-540-4168,1.9
192,97-882-5657,2.8
193,28-436-5957,2.1
194,04-598-7241,1.5
195,52-424-2599,3.1
196,92-783-1007,3.6
197,55-181-2251,2.2
198,26-317-5312,3.7
199,12-884-6218,3.6
200,56-438-3510,2.7
201,84-927-9445,3.1
202,08-786-2012,2.3
203,21-266-0923,1.7
204,88-776-5228,2.9
205,41-641-4515,1.2
206,45-442-3266,2.2
207,02-097-1641,2.5
208,89-364-9682,2.6
209,38-431-5204,3.3
210,02-578-1059,2.9
211,66-296-6126,1.8
212,01-159-4976,3.6
213,93-370-7928,2.6
214,04-960-1758,3.0
215,92-720-6718,3.6
216,71-358-9990,1.9
217,26-535-0396,3.2
218,15-717-5062,3.0
219,71-164-8624,3.7
220,03-465-1821,2.3
221,45-400-9609,1.5
222,14-717-1645,1.5
223,15-308-9692,1.9
224,04-430-2222,3.2
225,66-639-0665,3.7
226,20-511-4779,1.7
227,67-318-7564,3.5
228,23-333-6428,2.0
229,22-001-2216,1.4
230,01-963-2594,3.4
231,22-792-1007,2.3
232,74-575-1189,1.6
233,64-820-7018,1.1
234,67-472-9686,2.3
235,67-801-4458,2.3
236,73-611-2783,3.5
237,13-004-2396,2.1
238,06-682-4426,3.7
239,43-912-5069,1.4
240,68-421-4846,1.5
241,98-814-2561,2.8
242,98-523-9593,3.3
243,50-570-1931,3.4
244,66-656-4820,3.8
245,13-262-2077,2.6
246,74-376-7829,1.8
247,79-459-7624,3.3
248,69-724-6366,2.4
249,97-858-6349,3.4
250,20-659-5669,2.3
251,15-226-0541,2.5
252,16-307-8993,3.7
253,32-039-2882,3.9
254,63-529-5250,3.7
255,60-385-2925,1.5
256,23-169-7930,1.8
257,52-608-2822,1.7
258,90-709-1918,3.2
259,50-678-6513,3.6
260,42-121-4492,2.3
261,99-384-5889,1.2
262,60-520-2023,2.7
263,71-146-6947,3.2
264,09-193-9879,3.4
265,92-405-6610,3.3
266,58-607-7233,1.4
267,63-541-1517,2.5
268,94-459-4955,3.7
269,83-775-6260,3.0
270,81-420-5995,1.7
271,21-092-0668,1.8
272,26-719-5687,3.4
273,97-192-4496,2.9
274,40-825-9864,3.2
275,48-992-7119,2.1
276,59-063-1587,3.9
277,04-825-2966,2.5
278,84-240-0984,1.8
